id_product,name_product,url_product,brand,actual_price_item,old_price_item
589185,"Сыр Le Superbe Cheddar твердый 50%, 200г",https://online.metro-cc.ru/products/le-superbe-chedder-200-g,LE SUPERBE,489,589
122601,"Сырный продукт Alti Extra 50% для пиццы, ~2кг",https://online.metro-cc.ru/products/belkovo-zhirovoj-produkt-altimilk-extra-50-dlya-piccy-2-kg,ALTI,482,439
203292,"Сыр Laplandia сливочный кусок 45%, 300г",https://online.metro-cc.ru/products/300g-syr-45-laplandia-slivochnyy-kusok-bzmzh,LAPLANDIA,469,449
627943,"METRO Chef Сыр Маскарпоне 80%, 500г",https://online.metro-cc.ru/products/metro-chef-maskarpone-500-g,METRO CHEF,459,459
659073,"Сыр Laime Пармезан твердый 9 месяцев созревания 40%, 125г",https://online.metro-cc.ru/products/hard-cheese-collection-parmezan-9-mesyacev-kolotyj-40-125g-bzmzh,LAIME,459,459
228040,"Сырный продукт Senior Pizzaiolo для пиццы 45%, ~2кг",https://online.metro-cc.ru/products/2kg-produkt-belkovo-zhirovoy-45-senior-pizzaiolo-dlya-pitstsy,SENIOR PIZZAIOLO,449,379
31763,"METRO Chef Сыр Сиртос мягкий 45%, 500г",https://online.metro-cc.ru/products/metro-chef-sirtos-myagkij-45-500-g,METRO CHEF,449,379
107137,"METRO Chef Сыр брынза 45%, 500г",https://online.metro-cc.ru/products/metro-chef-45-500g,METRO CHEF,449,379
639498,"Сыр Le Superbe Grand Maurice твердый 45%, 150г",https://online.metro-cc.ru/products/le-superbe-grand-maurice-150g-bzmzh,LE SUPERBE,449,569
564848,"Сыр Unagrande Professionale Кремчиз сливочный 70%, 500г",https://online.metro-cc.ru/products/kremchiz-unagrande-professionale-70-500-g,UNAGRANDE,449,579
125719,"Сыр Unagrande Моцарелла для пиццы 45%, 460г",https://online.metro-cc.ru/products/460g-mocarella-unagrande-d-piccy-bzmzh,UNAGRANDE,439,589
119947,"METRO Chef Сыр Эдам 40%, 500г",https://online.metro-cc.ru/products/500g-40-edam-metro-chef-kusok-bzmzh,METRO CHEF,429,399
593263,"Сыр President Бри мягкий с белой плесенью 60%, 200г",https://online.metro-cc.ru/products/bri-president-myagkij-s-beloj-60-200-g-bzmzh,PRESIDENT,429,579
233874,"Сырный продукт Terra del Gusto Chef кубики для пиццы 50%, 1кг",https://online.metro-cc.ru/products/produkt-syrosoderzhaschiy-terra-del-gusto-chef-kubiki-dlya-pitstsy-50-1kg,TERRA DEL GUSTO,429,429
125895,"Сыр Le Superbe Swiss Alpine cow полутвердый 48%, 150г",https://online.metro-cc.ru/products/lesuperb-alpijskaya-korova-48-150g,LE SUPERBE,429,499
232454,"Продукт сыросодержащий Terra del Gusto гауда 40%, ~2.5кг",https://online.metro-cc.ru/products/25kg-produkt-syrosoderzh-40-terra-del-gusto-gauda,TERRA DEL GUSTO,419,419
118313,"METRO Chef Сыр Российский 50%, 500г",https://online.metro-cc.ru/products/500g-50-rossijskij-metro-chef-bzmzh,METRO CHEF,419,399
112949,"Сыр Cheese Gallery Parmegrino Гойя твердый 40%, 180г",https://online.metro-cc.ru/products/syr-tverdyj-cheese-gallery-parmegrino-gojya-40-180g,CHEESE GALLERY,419,419
232452,"Продукт сыросодержащий Terra del Gusto Chef российский 40%, ~2.5кг",https://online.metro-cc.ru/products/25kg-produkt-syr-40-terra-del-gusto-chef-rossiyskiy,TERRA DEL GUSTO,419,419
204110,"Сыр Viola голландский кусок 45%, 350г",https://online.metro-cc.ru/products/350g-syr-45-viola-gollandskiy-kusok-bzmzh,VIOLA,409,389
119940,"METRO Chef Сыр Пармезан сухой 32%, 100г",https://online.metro-cc.ru/products/metro-chef-parmezan-suhoj-32-100g-bzmzh,METRO CHEF,399,379
210272,"Буррата Galbani со вкусом песто 50%, 200г",https://online.metro-cc.ru/products/200g-syr-burrata-50-galbani-so-vkusom-pesto-bzmzh,GALBANI,389,459
211633,"Сыр Кабош Perla Di Latte Intensiva 50%, 180г",https://online.metro-cc.ru/products/180g-syr-50-kabosh-perla-di-latte-intensiva-bzmzh,КАБОШ,389,389
206437,"Сыр Laime Пармезан Platinum твердый 40% 15 месяцев, 180г",https://online.metro-cc.ru/products/180g-syr-parmezan-40-laime-platinum-vyd-ot-15m-bzmzh,LAIME,379,419
